"","animal","clothes","food","furniture","toy"
"alligator",2,0,1,0,0
"ant",1,0,3,0,0
"apple",1,0,4,0,7
"ball",1,0,2,0,11
"balloon",0,0,0,0,1
"banana",1,0,0,0,0
"bear",4,5,58,0,9
"bed",8,1,1,2,7
"bee",1,0,0,0,2
"bench",0,0,1,0,0
"bib",2,0,1,0,0
"bird",7,0,14,0,3
"block",2,1,0,0,7
"book",55,1,1,2,26
"bread",1,1,1,0,0
"bug",0,0,0,0,2
"bunny",0,1,3,0,1
"butter",0,0,9,0,1
"button",1,5,3,0,3
"cake",5,0,3,0,0
"candy",0,0,0,0,2
"cat",5,1,38,1,13
"cereal",0,0,3,0,1
"chair",2,1,4,1,5
"cheese",0,0,3,0,5
"chicken",8,0,14,0,2
"chocolate",0,0,4,0,0
"closet",0,4,0,0,5
"coat",0,0,1,0,1
"coffee",3,0,2,0,0
"cookie",6,0,3,0,13
"corn",6,1,0,0,0
"couch",0,0,0,1,1
"cow",6,1,4,0,3
"cracker",22,0,1,0,0
"crayon",1,1,2,0,3
"deer",2,0,0,0,0
"diaper",0,4,1,0,1
"dog",6,1,79,0,8
"doll",8,35,2,5,9
"donkey",1,0,0,0,0
"door",2,1,4,0,7
"drawer",1,8,0,1,2
"dress",1,25,0,0,3
"drink",7,3,4,0,0
"dryer",0,13,0,0,0
"duck",2,0,9,0,2
"egg",3,0,1,0,3
"elephant",9,0,3,0,6
"fish",16,2,18,2,10
"food",13,2,0,0,7
"frog",2,0,0,0,2
"game",3,0,0,0,2
"garage",6,0,0,3,4
"giraffe",7,0,0,0,1
"gum",0,0,2,0,0
"hat",0,3,0,0,0
"horse",5,5,17,0,3
"jacket",0,1,0,0,0
"juice",1,0,1,0,0
"kitchen",0,0,12,0,5
"kitty",1,1,8,0,6
"lamb",0,0,3,0,0
"lion",2,0,0,0,0
"meat",0,0,2,0,0
"milk",2,0,9,0,3
"monkey",2,0,5,0,10
"moose",2,0,0,0,0
"mouse",3,1,1,0,7
"necklace",1,0,0,0,0
"nuts",2,0,1,0,2
"orange",0,1,3,0,1
"oven",0,0,4,0,0
"owl",1,1,1,0,0
"pajamas",2,0,0,0,2
"pen",6,0,1,0,1
"pencil",0,0,0,0,2
"penguin",3,0,0,0,0
"pig",1,2,7,0,4
"pony",1,0,0,0,0
"potato",1,0,1,0,0
"present",1,0,0,0,2
"pumpkin",2,0,2,0,0
"puppy",1,0,3,0,1
"puzzle",7,0,0,0,2
"refrigerator",0,0,4,0,0
"room",7,3,1,8,28
"rooster",0,0,0,0,2
"salt",0,0,3,0,0
"sandwich",0,0,1,0,0
"sheep",3,0,1,0,0
"shirt",0,2,1,0,3
"shoe",0,9,1,0,3
"shorts",0,0,0,0,1
"shower",0,2,0,0,0
"sink",0,0,0,0,3
"slipper",0,1,0,0,4
"sock",0,1,1,0,3
"soda",0,0,1,0,2
"sofa",0,0,0,1,0
"soup",2,0,0,0,0
"squirrel",0,0,4,0,0
"story",5,1,0,0,7
"stove",0,0,4,0,0
"table",1,0,15,2,13
"tiger",0,0,2,0,0
"toast",0,0,1,0,0
"toy",10,4,7,0,0
"tuna",2,0,2,0,0
"turkey",0,0,1,0,0
"turtle",3,1,1,0,0
"tv",0,0,0,0,1
"water",19,2,19,0,13
"window",1,0,1,0,1
"wolf",1,0,0,0,0
"yogurt",0,1,5,0,0
"zebra",3,0,0,0,0
